Number,P1.1,P1.2,P1.3,P2.1,P2.2.1,P2.2.2,P2.2.3,P2.2.4,P1 - Total,P2 - Total,Overall,Proj. Overall,P1.1. - Comments,P1.2. - Comments,P1.3. - Comments,P2.1. - Comments,P2.2.1. - Comments,P2.2.2. - Comments,P2.2.3. - Comments,P2.2.4. - Comments
c2092802,8.04,7.20,5.80,3.32,1.80,0.25,0.50,0.25,21.04,6.12,27.16,38.80,Well done,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,"2.1.2. no FTR -HTR conversion done. 2.1.3 and 2.1.4 use wrong logic and calculations Thus, plots are incorrect.",2.2.1.1. There are various logical problems in the algorithm.  2.2.1.2. uses not allowed functions,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,No code submitted
c21109744,5.78,3.60,5.00,3.72,0.45,0.25,0.50,1.37,14.38,6.29,20.67,29.52,1.1.2. output returns has some entries without <title>. 1.1.3. No .enriched_selftext column created. Also no docstrings. ,1.2. Nearly all the subsections has logical problems. 3 for the efforts.,Good try but should have been supported with various references.,"2.1.1. no dropping columns. 2.1.3. wrong results plotted, even though the plotting operation is correct. 2.1.4. incomplete or wrong operation.",2.2.1. incomplete or wrong operation,2.2.2. incomplete or wrong operation,2.2.3. Invalid submission. Several definitions of the same function. Not suitable to mark.,2.2.4. incomplete or wrong operation
c1861964,3.18,0.60,0.40,6.93,0.45,0.25,0.50,0.25,4.18,8.38,12.56,17.94,1.1.2. and 1.1.3. no code,1.2. no code,no text,2.1.4. no code submitted,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21117851,4.32,7.50,3.60,3.32,1.05,2.05,6.40,2.60,15.42,15.42,30.84,44.06,"1.1.2. takes 5+ minutes to run, not acceptable. 1.1.3. has lowercase problem.",1.2. various non-ideal coding. A couple of pandas coding would solve these problems.,Maximum word limit violated. A shorter version with peer-reviewed references would make it better.,"2.1.1. drop columns problem. 2.1.2. non-ideal coding.  2.1.3. and 2.1.4. wrong logic used, thus incorrect plots created.",2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. not-allowed functions used.,"2.2.2. function somehow does the job but there are various problems. Firstly team1 and team2 variables not used at all. Manually setting teams to Man City and Everton. Also returned results are in float type, should be integer.",2.2.3. generally a good try. No constant added to the models. ,Calculations use complicated ways. 
c21102662,9.00,9.00,7.20,7.48,0.45,0.25,6.40,2.60,25.20,17.18,42.38,60.54,1.1. Well done,1.2.2. uses wrong logic.,Well done.,"2.1.1. drop columns not applied. 2.1.4. no subplots, no axis labels.",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3. generally a good try. No constant added to the models. ,Calculations use complicated ways. 
c21098035,8.28,7.20,6.76,6.06,4.40,2.20,6.40,2.60,22.24,21.66,43.90,62.71,1.1. pretty good effort.,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1. all codes are non-ideal with many for loops and if statement usages. 2.1.1. values are in float. 2.1.4. line markers not used, and running mean calculations are incorrect.","2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. function uses wrong logic.",2.2.2. this function itself is ok. Ignoring the not-allowed function usage#,2.2.3. generally a good try. No constant added to the models. ,Calculations use complicated ways. 
c21127927,8.08,9.69,6.76,9.32,6.44,3.80,6.80,3.32,24.53,29.68,54.21,77.44,1.1.2. output returns has some entries without <title>. ,1.2.3. only 1 output returned.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.1. and 2.1.2. non-ideal coding. 2.1.4. No subplots created, instead two consecutive plots shown.","2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. operation a bit more complicated way. Also uses linear varables twice while creating. E.g. HTAH and I(HTAG**1) are the same things.",2.2.2. this function itself is ok.,2.2.3. Train and test samples not created. Also FTR conversion not applied. Writing just the function is not enough for this question.,2.2.4. without training and test samples this function cannot be tested.
c21103850,8.44,9.75,8.00,9.08,4.68,3.80,10.00,3.00,26.19,30.56,56.75,81.07,Well Done.,1.2.3. only 1 output returned.,Well Done.,"2.1.4. no subfigures, no titles, wrong axis labels.",2.2.1. wrong predictors returned. There is a logical problem in the algorithm.,2.2.2. this function itself is ok.,Well done.,Calculations use complicated ways. Also Acc values are integers. AUC curves not needed.
c2079194,10.00,8.40,6.20,9.90,1.80,3.00,9.00,2.50,24.60,26.20,50.80,72.57,Well Done. Very clean and precise coding.,1.2.2. uses wrong logic. 1.2.3. returns wrong outputs. 1.2.4. slightly wrong output.,A good try but could be supported with more peer-reviewed references.,2.1. Good effort without docstrings.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok.,Well done.,the code is there but incomplete.
c1647806,7.56,11.10,4.40,8.94,4.92,3.00,8.16,4.02,23.06,29.04,52.10,74.43,1.1.3. lowercase problem. And no docstrings,1.2.3. outputs returned has small problems but a good try overall.,Word limit violation (less than 500) and lack of peer reviewed reference usage.,"2.1.4. No subplots created, instead two consecutive plots shown. General: No docstrings","2.2.1. operation does the job, but a bit more complicated way. 2.2.1.2. using PolynomialFeatures is not allowed. And also return is wrong",2.2.2. Solution looks feasible with non-ideal coding. Also manually calling select_variable function again in the function definition. it should already be called before and main-pred should be its results.,2.2.3.1. MLE without constatnt addition but a good try.,Calculations use complicated ways. Also Acc values are integers. 
c1764549,6.60,8.40,8.00,6.86,0.45,0.25,4.52,4.02,23.00,16.10,39.10,55.86,1.1.Good try with missing docstrings and some unneccessary for loops.,1.2.4. uses wrong logic.,Wel done.,"2.1. triple quoted should be defined after ""def"" keyworrd. 2.1.2., 2.1.3 and 2.1.4 non-ideal coding. 2.1.3. missing axis labels, 2.1.4. no subplots.",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3.1 returns error in Poisson function. ,Calculations use complicated ways. 
c21092663,4.75,6.69,4.00,3.96,0.45,0.05,0.50,0.25,15.44,5.21,20.65,29.50,1.1.2. return has nans. 1.1.3. wrong logic applied.,1.2.3. and 1.2.4. wrong logic used. ,Very shallow discussion and lack of peer reviewed reference usage.,2.1.3. function does calcualte the table only. It should include the plattong commands as well. 2.1.4. no figure created. General: No documentation.,2.2.1.no code provided or violated usage of not allowed functions.,2.2.2. no code submitted,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21107597,9.76,11.40,6.80,9.96,2.48,0.40,9.16,5.00,27.96,27.00,54.96,78.51,Well Done.,1.2. Good effort.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.2. a new column created not changed the original. 2.1.4. x axis is not gameweek.,2.2.1.1. removed variables are somehow wrong. 2.2.1.2. no code provided.,2.2.2. No code provided.,2.2.3.1. MLE without constatnt addition but a good try.,2.2.4. Well done.
c21088486,9.28,9.90,4.40,8.46,7.56,1.80,9.04,3.30,23.58,30.16,53.74,76.77,Well Done.,1.2.3. outputs not matching with correct results.,Word limit violation (less than 500) and lack of peer reviewed reference usage.,"2.1.4. No subplots created, instead two consecutive plots shown. General: No docstrings","2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. operation a bit more complicated way.",2.2.2. function logic is fully wrong. It calls select_variable function one more time in the function definition that makes main_pred argument redundant. Violation of function rules. ,2.2.3.2. function also returns df_pred. violation of rules.,"2.2.4. in general good, but AUC curves plotted and poisson results are wrong. Potentiallt due to df_pred return in the previous function"
c21032168,7.20,6.75,6.40,5.36,1.80,1.00,6.16,3.00,20.35,17.32,37.67,53.81,1.1.3. lowercase problem. And no docstrings,1.2.1. scores are not correct. 1.2.2. returned value is wrong. All the subparts solved via regular python codes instead of a sole-approach with pandas. Refer to title please.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1. lack of documentation. 2.1.4. plots something not wanted.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. function logic is fully wrong.,2.2.3. splitting training test uses a not-allowed function. FTR conversion is non-ideal. ,2.2.4. Calculations use complicated ways.
c2034863,5.59,7.35,6.60,5.72,1.80,3.00,7.20,2.04,19.54,19.76,39.30,56.15,1.1.2. missing outputs 1.1.3. fully wrong returns. No documentation,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.3. no axis labels entered. 2.1.4. 2nd figure is wrong. It plot cumsum of running means, but instead it should be just cumsum of goals, and xGs. Also no labels.","2.2.1. unfortunately, the general logic is incorrect. There are several not-allowed function usages as well. Returned objects are not correct, etc.]",2.2.2. this function itself is ok.,2.2.3. no constant added to models.,2.2.4. MSE uses a function which is not allowed. Acc values are in decimal not in percentage. In general various unnecessary usages of function etc. 
c21112778,5.84,9.30,5.00,9.40,1.80,0.40,6.00,2.50,20.14,20.10,40.24,57.49,1.1.1. returned object type error problem. 1.1.2. wrong logic 1.1.3. lowercase  error.,1.2.4. uses wrong logic.,Good try but should have been supported with various references.,"2.1.4. calculations are wrong, but apart from that a good try.","2.2.1. unfortunately, the general logic is incorrect. There are several not-allowed function usages as well. Returned objects are not correct, etc.]",2.2.2. no code provided,"2.2.3. lots of errorenous usages, wrong argument calls, various errors.","2.2.4. lots of errorenous usages, wrong argument calls, various errors."
c21122684,8.32,9.60,8.00,7.84,1.05,0.25,8.00,4.00,25.92,21.14,47.06,67.23,1.1.Good try with missing docstrings and some unneccessary for loops.,1.2. Good effort.,welldone,"2.1.1. calculated values are floating numbers, 2.1.4. fully wrong logic used and wrong calculations done for xGs.",2.2.1.1. wrong predictors returned. There is a logical problem in the algorithm. 2.2.1.2. not-allowed functions used.,2.2.2. no code provided,2.2.3. generally a good try. No constant added to the models. ,Calculations use complicated ways. 
c1831146,9.00,5.70,8.00,6.22,0.45,0.25,8.40,4.50,22.70,19.82,42.52,60.74,Well Done.,1.2.3. and 1.2.4. use wrong logic.,welldone,2.1.2. a new column created not changed the original. 2.1.4. no code submitted.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,Well done.,2.2.4. Well done.
c21120419,6.36,7.20,4.00,7.02,0.45,0.25,6.84,4.00,17.56,18.56,36.12,51.60,1.1.1. lowercase problem. 1.1.3. wrong logic,1.2.1. wrong outputs returned. Others non-ideal coding,Minimum number of words not reached! and lack of reference usage.,"2.1. triple quoted should be defined after ""def"" keyworrd. 2.1.2., 2.1.3 and 2.1.4 non-ideal coding. 2.1.3. missing axis labels, 2.1.4. no axis labels, no titles.",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,2.2.3. incomplete code impossible to run.,Calculations use complicated ways. 
c21049541,9.52,10.44,6.76,9.24,9.00,3.40,9.16,3.80,26.72,34.60,61.32,87.60,Well Done.,1.2.3. outputs returned has small problems but a good try overall.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.1. drop col step is wrong so the function returns NoneType. 2.1.2. and 2.1.4. non-ideal coding. 2.1.4 also has missing axis labels.,Well done.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3.1. FTR calculated in the function but a good try.,Calculations use complicated ways but a good try
c1723843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Submission,No Submission.,No Submission.,No submission,No Submission.,No Submission.,No submission,No submission.
c2023373,7.48,8.40,6.76,11.00,3.60,2.40,8.80,4.28,22.64,30.08,52.72,75.31,1.1.1. output type is wrong. No docstrings,1.2.4. wrong logic used.,Well Done. A copule of more peer-reviewed references would make it perfect.,Well done. ,2.2.1. wrong predictors returned. There is a logical problem in the algorithm. Also poly function returns formula instead of sm.OLS models. ,2.2.2. Solution looks feasible with non-ideal coding. Also manually manipulating line number 376. it should be found via team1 and team2 variables.,2.2.3. no constant added to models.,Well done. But unneccessary ROC curves plotted.
c2033088,6.67,6.69,5.00,3.96,1.80,3.00,4.40,3.40,18.36,16.56,34.92,49.89,1.1.1. does not crates a new column but updates an existing one! 1.1.3. uses wrong logic. No docstrings,1.2.1. wrong outputs returned. 1.2.4. wrong logic used. ,Good try but should have been supported with various references.,2.1.3. and 2.1.4 function does calcualte the table only. they should include the plotting commands as well. 2.1.4 also no random team selection added. General: No documentation.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok with non-ideal coding.,2.2.3. no randomly selected training and test samples. No constant addition. FTR conversion done in the function.,Non-ideal mse and accuracy calculation.
c1992365,8.48,9.75,6.20,7.34,4.78,1.30,8.40,4.20,24.43,26.02,50.45,72.07,Well Done.,1.2.3. only 1 output returned. Should be 6.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.3. labels not added. 2.1.4. no labels, no subplots, no line markers, and non-ideal coding.",2.2.1.1. it does the job but with a highly complicated way. 2.2.1.2 wrong predictors returned. There is a logical problem in the algorithm.,2.2.2. function logic is fully wrong.,Well done.,Well done.
c21036267,7.84,8.25,8.00,7.16,3.24,2.20,7.20,4.20,24.09,24.00,48.09,68.70,1.1.Good try with missing docstrings and some unneccessary for loops.,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Well Done.,"2.1.2. non-ideal coding. 2.1.4. No subplots created, instead two consecutive plots shown. No line markers, no random team selection. General: no documentation.",2.2.1. wrong predictors returned. There is a logical problem in the algorithm. Also poly function returns formula instead of sm.OLS models. ,2.2.2. Solution looks feasible with non-ideal coding. Also manually manipulating poly regression operation.,2.2.3. no constant added to models.,Well done.
c21072217,6.68,9.00,5.00,6.68,7.56,2.20,4.80,4.20,20.68,25.44,46.12,65.89,1.1.3. wrong logic used and no returns having. No docstring,1.2.3. only 1 output returned. And some uncessary for loops. ,Good try but should have been supported with various references.,"2.1.1. drop col step is wrong so the function returns NoneType. 2.1.4. running mean calculation is wrong. No line markers, no subplots.",2.2.1. effort without documentation.,"2.2.2. Solution looks feasible with non-ideal coding. Result conversions have problems. Linear shows 3-0, poly in floating numbers.",2.2.3. no constant added to models. No randomly selection of columns for training and test.,Well done.
c2038514,8.64,7.41,6.76,7.00,5.96,3.40,4.00,3.04,22.81,23.40,46.21,66.01,1.1. no documentation at all.,"1.2.1. scores are not correct. 1.2.3. only 1 returned, but 6 required. 1.2.4. wrong logic used.",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. no print command. 2.1.4. no labels and non-ideal coding.,2.2.1.2. polynomial operation uses a different logic but not fully acceptable.,2.2.2. OK.,"2.2.3.  No randomly selection of columns for training and test. Poisson uses GLM, but unacceptable.","2.2.4. mean_squared_error,roc_auc_score are not-allowed."
c2060377,6.84,8.70,5.00,5.64,1.80,1.00,0.00,0.00,20.54,8.44,28.98,41.40,1.1.1. return object type is wrong. 1.1.3. lowercase problem - NN returned as nn.,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Good try but should have been supported with various references.,2.1. General: Non-ideal coding for all parts and no documentation. 2.1.2. deletes Time col and adds again. ,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. poly regression takes 5+ minutes. I stopped the code and this part also cannot be tested.,no code submitted,No code submitted
c1623198,9.16,10.20,8.00,9.08,9.00,5.00,7.60,5.00,27.36,35.68,63.04,90.06,Well Done.,1.2. should be solved via pandas. Lots of unnecessary for loops. ,Well Done.,2.1.3. labels not added. 2.1.4.non-ideal coding.,Well done.,Well done.,2.2.3. no constant added to models and FTR calcualtions done in functions. ,Well done.
c2049783,8.32,11.10,4.80,9.24,9.00,5.00,10.00,5.00,24.22,38.24,62.46,89.23,1.1.Good try with missing docstrings and some unneccessary for loops.,Well done.,Maximum word limit violated. A shorter version with peer-reviewed references would make it perfect.,2.1.2. time conversion is incorrect. 2.1.4. non ideal coding,Well done.,Well done.,Well done.,Well done.
c21111133,4.68,7.50,3.00,8.12,1.05,3.80,8.80,0.25,15.18,22.02,37.20,53.14,1.1.2. wrong logic 1.1.3. non-ideal coding,1.2.4. wrong logic,Maximum word limit violated. A shorter version with peer-reviewed references would make it perfect.,"2.1.3. and 2.1.4. non-ideal coding. Also, some calculations are wrong in 2.1.4.","2.2.1.1. unfortunately, the general logic is incorrect. 2.2.1.2. uses not allowed functions, so not acceptable. ",2.2.2. this function itself is ok with non-ideal coding.,2.2.3. no constant added to models.,Returns error.
c21111954,10.00,9.45,6.40,9.56,6.80,3.40,9.16,3.80,25.85,32.72,58.57,83.67,Well Done.,Well done.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.2. and 2.1.4 non-ideal coding.,"2.2.1.1. operation does the job, but a bit more complicated way. 2.2.1.2. function manipulates the arguments at the beginning. Also returned object is not correct. Potentially in the next part, they need to repeat poly regression to make prediction.",2.2.2. poly regression operation is wrong.,2.2.3.1. FTR calculated in the function but a good try.,Calculations use complicated ways but a good try
c21078806,5.16,6.15,5.20,7.18,3.14,1.90,9.00,4.10,16.51,25.32,41.83,59.76,1.1.1. return object type is wrong. 1.1.2. returned output has nan values. 1.1.3. Selftext return is not correct. No docstrings,1.2.1. scores are not correct. 1.2.3. 8 values returned. 1.2.4. wrong logic used.,Maximum word limit violated. A shorter version with a couple of more peer-reviewed references would make it perfect.,"2.1.3. and 2.1.4 non-ideal coding. 2.1.4. running mean calculation is wrong. General: Triple quoted text should be used in def keyword. Thus, .__doc__ returns None!","2.2.1. unfortunately, the general logic is incorrect.",2.2.2. function definition changed by student. Only df is taken as argument. Violation of rules.,Well done.,Accuracy values are integers.
c21109714,3.80,7.86,3.00,4.86,0.45,0.25,3.60,2.50,14.66,11.66,26.32,37.60,"1.1.2 and 1.1.3. returns error, wrong docstring definitions: should be after def keyword.",1.2.1. scores are not correct. 1.2.3. 8 returned. 1.2.4. wrong logic used.,Maximum word limit violated. 1000+ words. No references. A shorter version with a couple of peer-reviewed references would make it perfect.,2.1.1. no dropping of columns. 2.1.3. wrong calculation of values.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,"2.2.3 violation of function definition rules. Not making use of pred and target variables. All operations done in the function, e.g. training set etc. but should have been done in the global scale. ",2.2.4. several problems 
c21087709,9.04,8.70,0.40,9.56,5.22,3.00,10.00,3.40,18.14,31.18,49.32,70.46,1.1.3. has lowercase problem.,1.2.4. uses wrong logic.,no text,2.1.2. and 2.1.4. non-deal coding,2.2.1.2. returns error,2.2.2. this function itself is ok but poly part cannot be tested,Well done.,2.2.4. no test code created. Al lest function should been called onnce.
c21061244,9.52,10.20,5.00,9.72,7.60,3.40,8.16,3.50,24.72,32.38,57.10,81.57,Well Done.,Well done.,Good try but should have been supported with various references.,2.1.4. non-ideal coding and no axis labels.,2.2.1.1. it does the job but with a highly complicated way.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3.1. FTR is calculated in the function. 2.2.3.2. manually manipulating predictors in the function.,2.2.4. non-ideal coding but a good try in general.
c21114342,9.28,12.00,4.00,7.32,1.05,0.25,10.00,5.00,25.28,23.62,48.90,69.86,Well done,Well done.,Minimum number of words not reached! and lack of reference usage.,"2.1.2. returned time values has some problems, and FTR calculcations are incorrect. 2.1.3. plotting outside of the function. Function itself should have plotted the figure. Figure is correct. 2.1.4. non-ideal coding","2.2.1. unfortunately, the general logic is incorrect.",2.2.2. no code provided or incomplete set of codes.,Well done.,Well done.
c21102193,10.00,10.80,5.00,8.64,0.45,0.25,0.50,0.25,25.80,10.09,35.89,51.27,well done,Well done.,Good try but should have been supported with various references.,"2.1.1. no dropping columns. 2.1.3. wrong title plotted. 2.1.4. secong figure is incorrect, there is a problem in calculations",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,2.2.3. no code provided or incomplete set of codes.,2.2.4. no code provided or incomplete set of codes.
c21075444,5.40,6.30,5.20,6.28,1.80,3.80,3.76,3.00,16.90,18.64,35.54,50.77,1.1.2. returns nans only. 1.1.3. non-ideal coding,1.2.1. and 1.2.4 wrong logic,Maximum word limit violated. A shorter version with a couple of more peer-reviewed references would make it perfect.,2.1. General: Non-ideal coding for all parts and no documentation. 2.1.4. no subplots ,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok with non-ideal coding.,2.2.3. No randomly selection of columns for training and test.,Calculations use complicated ways but a good try
c21096524,0.50,0.60,0.40,2.36,0.45,0.25,0.50,0.25,1.50,3.81,5.31,7.59,1.1. no code,1.2. no code,no code provided,"2.1.2. FTR-HTR calculations are incorrect. 2.1.3. wron logic, 2.1.4. no or incomplete code - also returns error.",2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,2.2.3. no code provided or incomplete set of codes.,2.2.4. no code provided or incomplete set of codes.
c21091784,5.40,6.30,5.00,3.48,0.45,0.25,0.50,0.25,16.70,4.93,21.63,30.90,1.1.2. returns nans only. 1.1.3. non-ideal coding,1.2.1. and 1.2.4 wrong logic,Good try but should have been supported with various references.,2.1.1. non-ideal coding. 2.1.2. no time conversion. 2.1.3. not fully correct calculations. 2.1.4. not plotting figure just table creation thus not acceptable.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,2.2.3. no code provided or incomplete set of codes.,2.2.4. no code provided or incomplete set of codes.
c21128431,6.36,7.80,5.00,5.08,0.45,0.25,0.50,0.25,19.16,6.53,25.69,36.70,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1.1. non-ideal coding. 2.1.2. no time conversion. 2.1.4. not plotting figure just table creation thus not acceptable.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided or incomplete set of codes.,2.2.3. no code provided or incomplete set of codes.,2.2.4. no code provided or incomplete set of codes.
c21114128,6.60,6.90,7.20,7.26,1.80,3.80,8.40,4.00,20.70,25.26,45.96,65.66,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2.4. wrong logic and others non-ideal coding,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1. General: Non-ideal coding for all parts and no documentation.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself is ok with non-ideal coding.,Well done.,2.2.4. ROC curves not needed to plot
c21074456,10.00,7.80,6.20,8.28,2.70,3.50,7.00,4.00,24.00,25.48,49.48,70.69,Well Done.,"1.2. all the solutions has much ""for"" usages instead of solving them directly with pandas.",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. and 2.1.4 non-ideal coding. 2.1.4. running mean calculation is wrong. ,"2.2.1.1. function has several problems. First main_pred is a dictionary of variables. But this one uses dataframe samples as inputs. Same for the target as well. The returned variable, main_pred is also wrong. When checking the significant variables, result does not match with the correct solution. Similar problems exist in 2.2.1.2. as well. ",2.2.2. this function itself is ok.,2.2.3. Good try but various unneccessary tseting lines of codes which makes marking harder. Sorry but you should have cleaned all of them,2.2.4. ROC curves not needed to plot
c2054828,8.08,11.10,0.40,10.04,7.44,3.40,5.00,2.50,19.58,28.38,47.96,68.51,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Well done.,no text,2.1.4. non-ideal coding but overall a good try well done,2.2.1.2. returned variables are formulas only. It should have been sm.OLS model objects,2.2.2. polynomial prediction has a problem. It returns 3-0. ,"2.2.3. lots of wrong implementation stages. Train-test sample salection done twice, not needed fit frunction also used for Poisson. And many more.",2.2.4. Test code returns error. 
c21043497,6.24,6.75,6.20,7.42,4.90,1.00,9.00,0.25,19.19,22.57,41.76,59.66,1.1.1. return object type is wrong. 1.1.2. output has unwanted smiley returns. No docstrings,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Well Done. A copule of more peer-reviewed references would make it perfect.,"General: most of the functions have various not necessary loops and if-else usages. Also, 2.1.4. calculates xGs for all teams and then applies it to the randomly selected team. This is not correct. ","2.2.1.1. does the job a bit complicated way. 2.2.1.2 poly operation is not correct. Hence, the returned result.",2.2.2. returns error.,Well done.,"2.2.4. wrong implementation, hence returns error."
c21016960,5.44,6.45,5.00,8.46,1.80,3.40,3.60,2.50,16.89,19.76,36.65,52.36,1.1.1. return object type is wrong. 1.1.3. uses wrong logic. No docstrings,"1.2.1., 1.2.3. and 1.2.4. use wrong logic",Good try but should have been supported with various references.,General: most of the functions have various not necessary loops and if-else usages. And no docstring.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself is ok.,"2.2.3 violation of function definition rules. Not making use of pred and target variables. All operations done in the function, e.g. training set etc. but should have been done in the global scale. ",2.2.4. several problems 
c2080713,8.16,5.70,6.20,6.84,5.32,1.40,8.40,0.25,20.06,22.21,42.27,60.39,1.1.1. return object type is wrong. No docstrings,"1.2.3. 10+ returned. 1.2.4. wrong logic used. 1.2.1. and 1.2.2. however returning correct results, the coding Is much more far from the expected. Also 1.2.1. return typr is different. ",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.2. no return. 2.1.4. calculates xGs for all teams and then applies it to the randomly selected team. This is not correct. ,2.2.1.2. polynomial operation uses a different logic and returns wrong models.,2.2.2. no return,Well done.,"2.2.4. wrong implementation, hence returns error."
c21101004,6.36,11.10,5.00,6.36,0.45,0.25,4.40,0.25,22.46,11.71,34.17,48.81,1.1.1. non-ideal coding. 1.1.3. uses wrong logic,Well done.,Good try but should have been supported with various references.,2.1.4. no function provided. And no documentation.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. No code provided,2.2.3. training and test samples not assigned. No constant added to models.,2.2.4. no code submited
c21114121,7.68,9.90,4.00,10.04,7.40,3.80,10.00,5.00,21.58,36.24,57.82,82.60,1.1.1. return object type is wrong. 1.1.3. has lowercase problem. E.g. nn should be NN. ,1.2.3. outputs not matching with correct results.,Minimum number of words not reached! and lack of reference usage.,Well done. ,2.2.1.2. poly regression 'ome' return is incorrect.,2.2.2. this function itself is ok.,Well done.,Well done.
c21018972,5.12,6.75,5.00,6.20,6.12,2.20,6.00,3.40,16.87,23.92,40.79,58.27,1.1.1. return object type is wrong. 1.1.3. uses wrong logic.,1.2.3. 10+ returned. 1.2.4. wrong logic used.,Good try but should have been supported with various references.,2.1.4. xG calculations are not correct. General: No documentation.,2.2.1.2. poly regression return does not have sm.OLS model but formula only.,2.2.2. result returns are in floating numbers. Also various other minor problems,2.2.3. Generally good try but various minor problems.,2.2.4. ROC curves not needed to plot
c21018922,7.24,7.05,6.40,6.86,1.80,1.40,6.60,3.00,20.69,19.66,40.35,57.64,1.1.3. has lowercase problem.,1.2.3. outputs not matching with correct results. 1.2.4. wrong logic used.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.4. xG calculations are not correct. General: Limitted documentation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. wrong logic used. Not-allowed function used and also regression analysis has been done again in the function. Not a correct approach to solve this problem.,2.2.3. Generally good try but various minor problems.,"2.2.4. good try with minor problems. mean_squared_error() function cannot be used, not allowed"
c21047486,6.36,7.80,0.40,7.00,3.05,1.65,5.20,2.20,14.56,19.10,33.66,48.09,1.1.1. returned object type error. 1.1.3. wrong logic,1.2.4. uses wrong logic.,no text,2.1.4. xG calculations are not correct. General: Limitted documentation.,"2.2.1.1. somehow does the job with a complicated way. 2.2.1.2. uses not allowed function, not acceptable solution.",2.2.2. this function itself does the job but returned variables are floating numbers instead of integers. Also again not-allowed functions used.,2.2.3. no training and test samples created. This was a part of the question. Now the questions are impossible to test. ,"2.2.4. in general looks ok, with a complicated implementation. Testing is problematic"
c21073031,8.00,9.45,5.80,9.56,7.65,2.85,10.00,4.00,23.25,34.06,57.31,81.87,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2.3 returns more outputs and also again usages of loops etc. Please refer to title. This question was reqired to be solved via pandas only ;),A good effort without peer-reviewed references.,2.1.2 and 2.1.4 non-ideal coding.,"2.2.1. operation does the job, but a bit more complicated way.",2.2.2. result returns are in floating numbers. Also various other minor problems,Well done.,2.2.4. ROC curves not needed to plot
